Naziv knjige,Autor,Predložio,Korice,Epizoda,Prevod
Permission marketing,Seth Godin,Branimir Brkljac,51j2nwzlICL._AC_SY780_.jpg,https://www.youtube.com/watch?v=0io6WEGBeR8&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=3,No
Start with why,Simon Sinek,Branimir Brkljac,51xrHMLGJPL._AC_SY780_.jpg,https://www.youtube.com/watch?v=0io6WEGBeR8&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=3,No
Trust me im lying,Ryan Holiday,Branimir Brkljac,TrustMeImLyingCover.jpg,https://www.youtube.com/watch?v=0io6WEGBeR8&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=3,No
Discipline is destiny,Ryan Holiday,Branimir Brkljac,51LDAwE7fsL.jpg,https://www.youtube.com/watch?v=0io6WEGBeR8&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=3,No
The culture cycle,James Heskett,Vladislav Lalic,pdf-the-culture-cycle-how-to-shape-the-unseen-force-that-transforms-performance-full-ebook.jpg,https://www.youtube.com/watch?v=7MT8wXEOgls&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=2,No
Nož,Vuk Drašković,Vladislav Lalic,343441.jpg,https://www.youtube.com/watch?v=7MT8wXEOgls&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=2,No
The New Confessions of an Economic Hit Man,John Perkins,Vladislav Lalic,1666307378.webp,https://www.youtube.com/watch?v=7MT8wXEOgls&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=2,No
Alchemy,Rory sutherland,Dalibor Šumiga,81XoMGLQYGL.jpg,https://www.youtube.com/watch?v=zGflfjwPIxg&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=1,No
Run away species,David Eagleman,Dalibor Šumiga,41SsISEcIXL._AC_SY780_.jpg,https://www.youtube.com/watch?v=zGflfjwPIxg&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=1,No
Dont trust your gut,Seth Stephens Davidowitz,Dalibor Šumiga,51A5NwuiYaL._AC_SY780_.jpg,https://www.youtube.com/watch?v=zGflfjwPIxg&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=1,No
How to lie with statistics,Darrell Huff,Dalibor Šumiga,710TdBocxjL.jpg,https://www.youtube.com/watch?v=zGflfjwPIxg&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=1,No
